lambda,flux
5174.6945,4.948973e-14
5176.4403,4.957975e-14
5178.1861,4.973978e-14
5179.9319,5.121905e-14
5181.6777,5.353948e-14
5183.4234,5.616996e-14
5185.1692,5.837937e-14
5186.9150,5.960960e-14
5188.6608,6.071980e-14
5190.4066,6.120989e-14
5192.1524,6.168998e-14
5193.8982,6.139993e-14
5195.6440,6.020971e-14
5197.3898,5.917952e-14
5199.1355,5.800930e-14
5200.8813,5.750921e-14
5202.6271,5.805931e-14
5204.3729,5.887946e-14
5206.1187,5.999967e-14
5207.8645,6.179000e-14
5209.6103,6.307923e-14
5211.3561,6.355933e-14
5213.1019,6.449950e-14
5214.8477,6.544967e-14
5216.5934,6.443949e-14
5218.3392,6.279919e-14
5220.0850,6.317925e-14
5221.8308,6.241912e-14
5223.5766,6.293921e-14
5225.3224,6.388938e-14
5227.0682,6.515962e-14
5228.8140,6.627983e-14
5230.5598,6.716999e-14
5232.3055,6.805915e-14
5234.0513,6.897933e-14
5235.7971,6.948942e-14
5237.5429,6.853924e-14
5239.2887,6.866927e-14
5241.0345,6.732902e-14
5242.7803,6.673991e-14
5244.5261,6.684993e-14
5246.2719,6.693995e-14
5248.0176,6.708998e-14
5249.7634,6.678992e-14
5251.5092,6.590976e-14
5253.2550,6.567971e-14
5255.0008,6.384938e-14
5256.7466,6.083982e-14
5258.4924,5.861942e-14
5260.2382,5.738919e-14
5261.9840,5.679908e-14
5263.7297,5.722916e-14
5265.4755,5.935955e-14
5267.2213,6.111988e-14
5268.9671,6.407942e-14
5270.7129,6.578973e-14
5272.4587,6.706997e-14
5274.2045,6.700996e-14
5275.9503,6.793913e-14
5277.6961,6.900933e-14
5279.4418,6.934939e-14
